category_guess,format_guess,query,source_url
handwritten-like,handwritten,українська медична довідка заповнена від руки PDF,https://l208.kiev.ua/wp-content/uploads/2025/09/medychna-dovidka-086-o.pdf
handwritten-like,handwritten,українська медична довідка заповнена від руки PDF,https://www.school11.org.ua/wp-content/uploads/2024/01/Медична_довідка_витяг_з_медичної_картки_амбулаторного_хворого.pdf
handwritten-like,handwritten,українська медична довідка заповнена від руки PDF,https://moz.gov.ua/uploads/10/50382-forma.pdf
handwritten-like,handwritten,українська медична довідка заповнена від руки PDF,https://www.rl.kyiv.ua/wp-content/uploads/2019/06/Forma-086-1O.pdf
handwritten-like,handwritten,медична форма заповнена від руки українською PDF,https://sprotyvg7.com.ua/wp-content/uploads/2023/08/МЕТОД_РЕКОМ_облік_і_звітність_2014.pdf
handwritten-like,handwritten,медична форма заповнена від руки українською PDF,https://cerebrolysin.com.ua/fileadmin/user_upload/stroke/addition/Cerebrolysin-Scales-21.pdf
handwritten-like,handwritten,медична форма заповнена від руки українською PDF,https://tl.nuph.edu.ua/wp-content/uploads/2017/09/рецепт-бланк-Ф-1.pdf
handwritten-like,handwritten,медична форма заповнена від руки українською PDF,https://law.lnu.edu.ua/wp-content/uploads/2015/03/Комплексний-навчальний-посібник-з-судової-медицини.pdf
handwritten-like,handwritten,медична форма заповнена від руки українською PDF,https://nuou.org.ua/assets/files/kvp/kvp-otm-2022.pdf
handwritten-like,handwritten,медична форма заповнена від руки українською PDF,https://upl.ua/uploads/2508/cl8aoptYxGzQJfiBLyuk_dq7-zs056gu.pdf
handwritten-like,handwritten,медична форма заповнена від руки українською PDF,https://k-m-k.com.ua/wp-content/uploads/2020/10/Pidruchnyk-Kit-O.M.-2004r.pdf
handwritten-like,handwritten,інформована згода пацієнта заповнена від руки PDF,https://ivf.com.ua/wp-content/uploads/2020/11/Zgoda.pdf
handwritten-like,handwritten,інформована згода пацієнта заповнена від руки PDF,https://mci.ua/conditions/sgoda_online_2022.pdf
handwritten-like,handwritten,інформована згода пацієнта заповнена від руки PDF,https://www.csdlab.ua/sites/default/files/2024-05/informovana-zgoda-13.05.2024.pdf
handwritten-like,handwritten,інформована згода пацієнта заповнена від руки PDF,https://www.straumann.com/content/dam/media-center/clearcorrect/en/documents/general-terms-and-conditions/480.254-uk-00.pdf
handwritten-like,handwritten,інформована згода пацієнта заповнена від руки PDF,https://doctors.com.ua/wp-content/uploads/2021/07/informovana-zgoda-003-6-ot-12-2020.pdf
handwritten-like,handwritten,інформована згода пацієнта заповнена від руки PDF,https://moz.gov.ua/uploads/3/19857-forma1.pdf
handwritten-like,handwritten,анкета пацієнта заповнена від руки українською,https://kinderklinik.ua/wp-content/uploads/2020/07/Anketa-pershij-vizit-Dorosli.pdf
handwritten-like,handwritten,анкета пацієнта заповнена від руки українською,https://istomatolog.clinic/wp-content/uploads/2023/10/Анкета-пацієнта.pdf
handwritten-like,handwritten,анкета пацієнта заповнена від руки українською,https://forum.govorimpro.us/uploads/short-url/gNkwTIz9X2740U1kwppPTKseuVc.pdf
handwritten-like,handwritten,анкета пацієнта заповнена від руки українською,https://dspace.library.khai.edu/xmlui/bitstream/handle/123456789/3392/Dudka.pdf?sequence=1&isAllowed=y
handwritten-like,handwritten,медична карта пацієнта заповнена від руки PDF,https://dtstom.pdmu.edu.ua/storage/events/files/QwMN51K8Vfug6SV5tohgKuYvTrGngObs0z4dNN7X.pdf
handwritten-like,handwritten,направлення на медичний огляд заповнене від руки PDF,https://www.victorija.ua/blanki-ta-formi-dokumentiv/page/2?print=pdf
handwritten-like,handwritten,направлення на медичний огляд заповнене від руки PDF,https://turbota.mil.gov.ua/wp-content/uploads/2024/03/dodatok-11_zrazok-napravlennya-na-vlk.pdf
handwritten-like,handwritten,заява пацієнта заповнена від руки PDF,https://ivinas.gov.ua/images/onp/normativ/Зразок_заяви_2021.pdf
handwritten-like,handwritten,заява пацієнта заповнена від руки PDF,https://ipep.com.ua/data/admin/ckeditor/kcfinder/upload/files/SVR/1.pdf
handwritten-like,handwritten,заява пацієнта заповнена від руки PDF,https://cardiocenter.poltava.ua/wp-content/uploads/2023/07/zayava.pdf
handwritten-like,handwritten,заява пацієнта заповнена від руки PDF,http://specrada.bio.gov.ua/sites/default/files/docs/zayava.pdf
handwritten-like,handwritten,заява пацієнта заповнена від руки PDF,https://pvlu.org/sites/default/files/2024-07/zrazki-zayav-chol.pdf
handwritten-like,handwritten,заява пацієнта заповнена від руки PDF,https://kvnzchmy.at.ua/konkurs/perelik_navichok_ta_algoritmi_z_ms_u_vnut-med..pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/cdef1eb5-efff-4495-a2ab-fb2f90b777b0/dn_1977_27112024_dod.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/f9a35dbd-1fcc-456d-92ff-81cd9f2985d4/3-Порівняльна-таблиця-(грудень)-(1).pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/uploads/10/50378-dodatok_do_poradku.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/d121e2bb-b3ad-4539-9b80-748bfe4d8859/ПЗ.pdf
official_dense,digital,site:moz.gov.ua filetype:pdf довідка проєкт постанови медичний огляд,https://moz.gov.ua/storage/uploads/17b686ef-8745-4deb-be55-20b3ce44258d/dn_1393_08092025_dod_10.pdf
