document_id,file_name,relative_path,source,status,category,size_bytes,size_mb,sha256,drive_path,source_url,generated_at,notes
pdf_000001,!!!!!!!417_handwritten.pdf,downloads/!!!!!!!417_handwritten.pdf,downloads,raw_download,handwritten,6754844,6.442,8f09623ee386cfa8d3471196b3434757423589ed4ee6626e9d9f99811e73f84a,,,2026-06-11T18:07:18+00:00,
pdf_000002,!!!087_handwritten.pdf,downloads/!!!087_handwritten.pdf,downloads,raw_download,handwritten,78308,0.075,ae970a7dc42758f00debe15ce14f80206cdca6b669ffbc19081ab15e3e5610b9,,,2026-06-11T18:07:18+00:00,
pdf_000003,!!002_contract.pdf,downloads/!!002_contract.pdf,downloads,raw_download,contract,281765,0.269,db86426e497f9b11d93109c07479ef3839c7d07d29e35c2ef73c9a24290f8ef7,,,2026-06-11T18:07:18+00:00,
pdf_000004,!006_financial_environmental_report.pdf,downloads/!006_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,411711,0.393,9f048a9d082af7dcd5a703324eeb0cc94ab5c11b11660195f94d42fc11c9b447,,,2026-06-11T18:07:18+00:00,
pdf_000005,!481_handwritten.pdf,downloads/!481_handwritten.pdf,downloads,raw_download,handwritten,1248686,1.191,0c46c19f624ed0cd9144341e900386639d19d1a6ed8e062b9452649b5b544306,,,2026-06-11T18:07:18+00:00,
pdf_000006,001_contract.pdf,downloads/001_contract.pdf,downloads,raw_download,contract,222127,0.212,fd640ab368568159e45857d53079e26708f9aacf926e6e82cf9f4d2cec771bff,,,2026-06-11T18:07:18+00:00,
pdf_000007,002_contract.pdf,downloads/002_contract.pdf,downloads,raw_download,contract,187221,0.179,f3f287edf58cc6a3294d1533b0af9d5571022a2032c1b7b953b86b14190ab77f,,,2026-06-11T18:07:18+00:00,
pdf_000008,004_contract.pdf,downloads/004_contract.pdf,downloads,raw_download,contract,405845,0.387,f6c680885b2bb55ec5a54486fc5503385f5b86dc9136b85e21e381e23b60c059,,,2026-06-11T18:07:18+00:00,
pdf_000009,004_financial_environmental_report.pdf,downloads/004_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,335193,0.320,8b961534e0466a95a2fc56ef964f8cc84a06e50c7eb9fa4636b604d10ad3faca,,,2026-06-11T18:07:18+00:00,
pdf_000010,005_contract.pdf,downloads/005_contract.pdf,downloads,raw_download,contract,540810,0.516,08824d17022d590ccadc2db9da3842e2695420134a8165690a82a4a2dc9bb279,,,2026-06-11T18:07:18+00:00,
pdf_000011,005_financial_environmental_report.pdf,downloads/005_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,207047,0.197,fb3da4126765207adea4d789e9bb09c0ba3be5938fed0654c20bf860bbe490df,,,2026-06-11T18:07:18+00:00,
pdf_000012,006_contract.pdf,downloads/006_contract.pdf,downloads,raw_download,contract,49684,0.047,9e45caa2fe56e7c7d09c78b143e624e749375806c133a51a99cf17cfbba6719a,,,2026-06-11T18:07:18+00:00,
pdf_000013,007_contract.pdf,downloads/007_contract.pdf,downloads,raw_download,contract,322238,0.307,5c77509156e990709837e55534eb63115851c7cbeb285b6aa3fd9cffa0b97ea0,,,2026-06-11T18:07:18+00:00,
pdf_000014,008_contract.pdf,downloads/008_contract.pdf,downloads,raw_download,contract,525253,0.501,9bae06a820e1838f89f129fcaf08150b5f050ec388b69773462fa54b7f04dd7f,,,2026-06-11T18:07:18+00:00,
pdf_000015,008_financial_environmental_report.pdf,downloads/008_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,557660,0.532,c2073e2b8971da46eebf40ffa422af111aa954cc7233b4348e1837e2d7859fc7,,,2026-06-11T18:07:18+00:00,
pdf_000016,009_financial_environmental_report.pdf,downloads/009_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,408182,0.389,af83c8c4c6f8201a36bbd31984e919f8218b750ad6117f5b0601c572effede30,,,2026-06-11T18:07:18+00:00,
pdf_000017,010_contract.pdf,downloads/010_contract.pdf,downloads,raw_download,contract,51417,0.049,2e14dc56d9cca888ae35ed0cc5f1fec3be04b15e84b422ec3168133fd055f7b2,,,2026-06-11T18:07:18+00:00,
pdf_000018,010_financial_environmental_report.pdf,downloads/010_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,5230610,4.988,4fb788ffdaa4faf88a42a1b8dee584aff45f983534ba0a72df55e65fdad63b44,,,2026-06-11T18:07:18+00:00,
pdf_000019,011_contract.pdf,downloads/011_contract.pdf,downloads,raw_download,contract,630457,0.601,e7ff95bb30eb9e1629eec75684f44a7774f0f1284f7f1088af2cc9a992848379,,,2026-06-11T18:07:18+00:00,
pdf_000020,012_contract.pdf,downloads/012_contract.pdf,downloads,raw_download,contract,842137,0.803,acc19e90a9aec13f4653e5beba6e31283535920e9889d5dc0768f4ed4ce23584,,,2026-06-11T18:07:18+00:00,
pdf_000021,013_contract.pdf,downloads/013_contract.pdf,downloads,raw_download,contract,326649,0.312,09bcba3609c120e7d12d469cf78cba9338f0fd6a24c3bc5f3d7b241c862dc762,,,2026-06-11T18:07:18+00:00,
pdf_000022,013_financial_environmental_report.pdf,downloads/013_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,409340,0.390,305deda2c7901dc13f521bf5c56eae9c49d401fb23841080cf6fa880d4d4bf79,,,2026-06-11T18:07:18+00:00,
pdf_000023,014_contract.pdf,downloads/014_contract.pdf,downloads,raw_download,contract,327438,0.312,95330992c35a8adb28f47830d05c953acc41c80e74049175e8f092700cf17c18,,,2026-06-11T18:07:18+00:00,
pdf_000024,014_financial_environmental_report.pdf,downloads/014_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,49537,0.047,6fea345b76adba9a7c8653ac41c6890adf1c92189bd0d2121c1938decc4fdde6,,,2026-06-11T18:07:18+00:00,
pdf_000025,015_contract.pdf,downloads/015_contract.pdf,downloads,raw_download,contract,399161,0.381,9b07d557ff11ea84b599cda19a3c6aef91c5a271bf47d8b6b66a78de367a94cc,,,2026-06-11T18:07:18+00:00,
pdf_000026,015_financial_environmental_report.pdf,downloads/015_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,204423,0.195,f74a643c5d2caf36e5f9097185e5f59420c9261a2ff7134fd45c5ad8ad16bbbd,,,2026-06-11T18:07:18+00:00,
pdf_000027,016_contract.pdf,downloads/016_contract.pdf,downloads,raw_download,contract,304675,0.291,b24a6f38098dc235e8cbccb527e60f51ced713a846376c623344e19faa79dcbe,,,2026-06-11T18:07:18+00:00,
pdf_000028,016_financial_environmental_report.pdf,downloads/016_financial_environmental_report.pdf,downloads,raw_download,financial_environmental_report,213563,0.204,9b919b082be3100dc54186a8f31c02c2654ac17ed874bd4c438b5a2448c26a74,,,2026-06-11T18:07:18+00:00,
pdf_000029,017_contract.pdf,downloads/017_contract.pdf,downloads,raw_download,contract,293111,0.280,1bed9539b33b04e27815ad0c322c14e975c0248bbe9798e42367c2d40027d4bc,,,2026-06-11T18:07:18+00:00,
